location,name,freq,weighting,n_factors,date,ret
usa,short_term_reversal,monthly,vw,4,1933-05-31,0.0116554403458285
usa,short_term_reversal,monthly,vw,4,1933-06-30,-0.0211170918597348
usa,short_term_reversal,monthly,vw,4,1933-07-31,0.0246442588296196
usa,short_term_reversal,monthly,vw,4,1933-08-31,-0.00654806337146176
usa,short_term_reversal,monthly,vw,4,1933-09-30,-0.0203709194232144
usa,short_term_reversal,monthly,vw,4,1933-10-31,-0.0207311299048458
usa,short_term_reversal,monthly,vw,4,1933-11-30,-0.0166510263852644
usa,short_term_reversal,monthly,vw,4,1933-12-31,-0.0154024431836918
usa,short_term_reversal,monthly,vw,4,1934-01-31,-0.0180566835413422
usa,short_term_reversal,monthly,vw,4,1934-02-28,-0.00105319599258344
usa,short_term_reversal,monthly,vw,4,1934-03-31,-0.0128964664356963
usa,short_term_reversal,monthly,vw,4,1934-04-30,0.00721305036765405
usa,short_term_reversal,monthly,vw,4,1934-05-31,-0.0391911786481159
usa,short_term_reversal,monthly,vw,4,1934-06-30,0.00360110294369863
usa,short_term_reversal,monthly,vw,4,1934-07-31,-0.0150517067758333
usa,short_term_reversal,monthly,vw,4,1934-08-31,0.0247098132830573
usa,short_term_reversal,monthly,vw,4,1934-09-30,0.00561622207562665
usa,short_term_reversal,monthly,vw,4,1934-10-31,0.00356629895907374
usa,short_term_reversal,monthly,vw,4,1934-11-30,-0.025196200544836
usa,short_term_reversal,monthly,vw,4,1934-12-31,-0.00230224019558808
usa,short_term_reversal,monthly,vw,4,1935-01-31,0.00406846206051399
usa,short_term_reversal,monthly,vw,4,1935-02-28,0.003996263242542
usa,short_term_reversal,monthly,vw,4,1935-03-31,-0.0003959385753627
usa,short_term_reversal,monthly,vw,4,1935-04-30,0.0032771575332192
usa,short_term_reversal,monthly,vw,4,1935-05-31,-0.00288670645337791
usa,short_term_reversal,monthly,vw,4,1935-06-30,-0.0136602797969671
usa,short_term_reversal,monthly,vw,4,1935-07-31,-0.00234207518178431
usa,short_term_reversal,monthly,vw,4,1935-08-31,-0.0229408338089076
usa,short_term_reversal,monthly,vw,4,1935-09-30,-0.0227597900754274
usa,short_term_reversal,monthly,vw,4,1935-10-31,0.0234767752836544
usa,short_term_reversal,monthly,vw,4,1935-11-30,0.0203151940717891
usa,short_term_reversal,monthly,vw,4,1935-12-31,-0.00306121760622345
usa,short_term_reversal,monthly,vw,4,1936-01-31,-0.0263641348526383
usa,short_term_reversal,monthly,vw,4,1936-02-29,0.000536870955466271
usa,short_term_reversal,monthly,vw,4,1936-03-31,0.0272422811031342
usa,short_term_reversal,monthly,vw,4,1936-04-30,0.0135432280233649
usa,short_term_reversal,monthly,vw,4,1936-05-31,0.000780458781141573
usa,short_term_reversal,monthly,vw,4,1936-06-30,0.00604814947186743
usa,short_term_reversal,monthly,vw,4,1936-07-31,0.0132607829893931
usa,short_term_reversal,monthly,vw,4,1936-08-31,0.00277858453376826
usa,short_term_reversal,monthly,vw,4,1936-09-30,0.0106124393787995
usa,short_term_reversal,monthly,vw,4,1936-10-31,0.0077498764852632
usa,short_term_reversal,monthly,vw,4,1936-11-30,0.00683223829179285
usa,short_term_reversal,monthly,vw,4,1936-12-31,-0.0206037036509504
usa,short_term_reversal,monthly,vw,4,1937-01-31,-0.00238166582628246
usa,short_term_reversal,monthly,vw,4,1937-02-28,-0.00394140772053125
usa,short_term_reversal,monthly,vw,4,1937-03-31,-0.0162643573474794
usa,short_term_reversal,monthly,vw,4,1937-04-30,0.0112517016405239
usa,short_term_reversal,monthly,vw,4,1937-05-31,0.0122798301590818
usa,short_term_reversal,monthly,vw,4,1937-06-30,-0.00150404142672157
usa,short_term_reversal,monthly,vw,4,1937-07-31,0.015965834194126
usa,short_term_reversal,monthly,vw,4,1937-08-31,0.0069062222107759
usa,short_term_reversal,monthly,vw,4,1937-09-30,-0.0112110707212592
usa,short_term_reversal,monthly,vw,4,1937-10-31,-0.01625421942114
usa,short_term_reversal,monthly,vw,4,1937-11-30,-0.00210025662995317
usa,short_term_reversal,monthly,vw,4,1937-12-31,0.000260403266344331
usa,short_term_reversal,monthly,vw,4,1938-01-31,0.0307336459596676
usa,short_term_reversal,monthly,vw,4,1938-02-28,-0.00269881702862113
usa,short_term_reversal,monthly,vw,4,1938-03-31,0.0347204260882106
usa,short_term_reversal,monthly,vw,4,1938-04-30,0.0347614168344241
usa,short_term_reversal,monthly,vw,4,1938-05-31,0.0161710782561778
usa,short_term_reversal,monthly,vw,4,1938-06-30,0.0778502050728124
usa,short_term_reversal,monthly,vw,4,1938-07-31,-0.0104759535344412
usa,short_term_reversal,monthly,vw,4,1938-08-31,-0.0103116591913677
usa,short_term_reversal,monthly,vw,4,1938-09-30,0.00973267194375179
usa,short_term_reversal,monthly,vw,4,1938-10-31,0.0254335198172225
usa,short_term_reversal,monthly,vw,4,1938-11-30,0.00920621790164774
usa,short_term_reversal,monthly,vw,4,1938-12-31,-0.00753906929781567
usa,short_term_reversal,monthly,vw,4,1939-01-31,0.0016090079667954
usa,short_term_reversal,monthly,vw,4,1939-02-28,-0.00334851472175961
usa,short_term_reversal,monthly,vw,4,1939-03-31,0.0114137192439582
usa,short_term_reversal,monthly,vw,4,1939-04-30,0.0171823038482165
usa,short_term_reversal,monthly,vw,4,1939-05-31,0.00993841332181147
usa,short_term_reversal,monthly,vw,4,1939-06-30,0.0188761460848935
usa,short_term_reversal,monthly,vw,4,1939-07-31,0.0330114025089255
usa,short_term_reversal,monthly,vw,4,1939-08-31,0.0239014688663005
usa,short_term_reversal,monthly,vw,4,1939-09-30,0.0421117683543153
usa,short_term_reversal,monthly,vw,4,1939-10-31,0.075771157707224
usa,short_term_reversal,monthly,vw,4,1939-11-30,-0.00930403704597932
usa,short_term_reversal,monthly,vw,4,1939-12-31,0.00129149580650563
usa,short_term_reversal,monthly,vw,4,1940-01-31,0.00587990646611429
usa,short_term_reversal,monthly,vw,4,1940-02-29,0.00408992234483966
usa,short_term_reversal,monthly,vw,4,1940-03-31,0.000657141745887132
usa,short_term_reversal,monthly,vw,4,1940-04-30,0.00470778916931283
usa,short_term_reversal,monthly,vw,4,1940-05-31,0.0169210170273027
usa,short_term_reversal,monthly,vw,4,1940-06-30,0.0277243748177855
usa,short_term_reversal,monthly,vw,4,1940-07-31,0.00655760869498634
usa,short_term_reversal,monthly,vw,4,1940-08-31,-0.00795494078305509
usa,short_term_reversal,monthly,vw,4,1940-09-30,0.00623938194499443
usa,short_term_reversal,monthly,vw,4,1940-10-31,0.00857220950126188
usa,short_term_reversal,monthly,vw,4,1940-11-30,-0.0102278075689584
usa,short_term_reversal,monthly,vw,4,1940-12-31,0.00880948860733465
usa,short_term_reversal,monthly,vw,4,1941-01-31,-0.0204172644285582
usa,short_term_reversal,monthly,vw,4,1941-02-28,0.0049366925249216
usa,short_term_reversal,monthly,vw,4,1941-03-31,0.00202030623584233
usa,short_term_reversal,monthly,vw,4,1941-04-30,-0.00577026250012505
usa,short_term_reversal,monthly,vw,4,1941-05-31,0.00715765698863197
usa,short_term_reversal,monthly,vw,4,1941-06-30,0.0180134852068211
usa,short_term_reversal,monthly,vw,4,1941-07-31,0.0251208101708054
usa,short_term_reversal,monthly,vw,4,1941-08-31,0.0122806858542888
usa,short_term_reversal,monthly,vw,4,1941-09-30,-0.00140849524262982
usa,short_term_reversal,monthly,vw,4,1941-10-31,0.0173660459727204
usa,short_term_reversal,monthly,vw,4,1941-11-30,-0.026921130054892
usa,short_term_reversal,monthly,vw,4,1941-12-31,-0.021323668043107
usa,short_term_reversal,monthly,vw,4,1942-01-31,0.0362574555593975
usa,short_term_reversal,monthly,vw,4,1942-02-28,-0.0159469571849456
usa,short_term_reversal,monthly,vw,4,1942-03-31,-0.0131920047558478
usa,short_term_reversal,monthly,vw,4,1942-04-30,-0.00200903211754821
usa,short_term_reversal,monthly,vw,4,1942-05-31,0.00797130552345665
usa,short_term_reversal,monthly,vw,4,1942-06-30,0.0146775635621011
usa,short_term_reversal,monthly,vw,4,1942-07-31,0.0116454929216412
usa,short_term_reversal,monthly,vw,4,1942-08-31,0.00120192912608817
usa,short_term_reversal,monthly,vw,4,1942-09-30,-0.00027684520287418
usa,short_term_reversal,monthly,vw,4,1942-10-31,0.00525070073213677
usa,short_term_reversal,monthly,vw,4,1942-11-30,0.0353931117748457
usa,short_term_reversal,monthly,vw,4,1942-12-31,0.0190273909784495
usa,short_term_reversal,monthly,vw,4,1943-01-31,0.000796475867945149
usa,short_term_reversal,monthly,vw,4,1943-02-28,-0.0025243970114089
usa,short_term_reversal,monthly,vw,4,1943-03-31,-0.00520013110602948
usa,short_term_reversal,monthly,vw,4,1943-04-30,0.000295923935592404
usa,short_term_reversal,monthly,vw,4,1943-05-31,-0.00013054356811879
usa,short_term_reversal,monthly,vw,4,1943-06-30,0.0115499823972475
usa,short_term_reversal,monthly,vw,4,1943-07-31,0.0204695211638655
usa,short_term_reversal,monthly,vw,4,1943-08-31,0.00967889126857976
usa,short_term_reversal,monthly,vw,4,1943-09-30,0.00847106427875163
usa,short_term_reversal,monthly,vw,4,1943-10-31,0.00622334352738821
usa,short_term_reversal,monthly,vw,4,1943-11-30,0.00960240768350655
usa,short_term_reversal,monthly,vw,4,1943-12-31,0.0185659305560037
usa,short_term_reversal,monthly,vw,4,1944-01-31,0.00599541807297881
usa,short_term_reversal,monthly,vw,4,1944-02-29,-0.00172244178637599
usa,short_term_reversal,monthly,vw,4,1944-03-31,-0.000317538930262015
usa,short_term_reversal,monthly,vw,4,1944-04-30,0.00357062641715553
usa,short_term_reversal,monthly,vw,4,1944-05-31,0.00819625994983997
usa,short_term_reversal,monthly,vw,4,1944-06-30,0.0105105813169839
usa,short_term_reversal,monthly,vw,4,1944-07-31,0.0153643940753601
usa,short_term_reversal,monthly,vw,4,1944-08-31,0.00779217742450358
usa,short_term_reversal,monthly,vw,4,1944-09-30,-0.00379045125535781
usa,short_term_reversal,monthly,vw,4,1944-10-31,0.00348861764006361
usa,short_term_reversal,monthly,vw,4,1944-11-30,-0.00238266347683611
usa,short_term_reversal,monthly,vw,4,1944-12-31,-0.000634179684136878
usa,short_term_reversal,monthly,vw,4,1945-01-31,0.011503673277378
usa,short_term_reversal,monthly,vw,4,1945-02-28,-0.00377242819168656
usa,short_term_reversal,monthly,vw,4,1945-03-31,0.0145988574687327
usa,short_term_reversal,monthly,vw,4,1945-04-30,0.00446357457798907
usa,short_term_reversal,monthly,vw,4,1945-05-31,0.00824005117390862
usa,short_term_reversal,monthly,vw,4,1945-06-30,0.00259540180325074
usa,short_term_reversal,monthly,vw,4,1945-07-31,0.0145215330437475
usa,short_term_reversal,monthly,vw,4,1945-08-31,0.00726989446025755
usa,short_term_reversal,monthly,vw,4,1945-09-30,-0.0036983464211776
usa,short_term_reversal,monthly,vw,4,1945-10-31,-0.00781892792066468
usa,short_term_reversal,monthly,vw,4,1945-11-30,-0.00123987835731574
usa,short_term_reversal,monthly,vw,4,1945-12-31,0.0163628369312513
usa,short_term_reversal,monthly,vw,4,1946-01-31,0.0081946530192692
usa,short_term_reversal,monthly,vw,4,1946-02-28,0.0183252319483781
usa,short_term_reversal,monthly,vw,4,1946-03-31,-0.00871773612950714
usa,short_term_reversal,monthly,vw,4,1946-04-30,-0.0348125006345954
usa,short_term_reversal,monthly,vw,4,1946-05-31,0.0116388561896525
usa,short_term_reversal,monthly,vw,4,1946-06-30,0.0128404912711995
usa,short_term_reversal,monthly,vw,4,1946-07-31,0.00359225803012014
usa,short_term_reversal,monthly,vw,4,1946-08-31,-0.00169041894258547
usa,short_term_reversal,monthly,vw,4,1946-09-30,-0.00223503568419478
usa,short_term_reversal,monthly,vw,4,1946-10-31,0.0019922615373499
usa,short_term_reversal,monthly,vw,4,1946-11-30,0.00986547441223221
usa,short_term_reversal,monthly,vw,4,1946-12-31,-0.00598550797235466
usa,short_term_reversal,monthly,vw,4,1947-01-31,-0.0123210889447098
usa,short_term_reversal,monthly,vw,4,1947-02-28,-0.00663262756676568
usa,short_term_reversal,monthly,vw,4,1947-03-31,0.00301327771574557
usa,short_term_reversal,monthly,vw,4,1947-04-30,-0.00844839193545291
usa,short_term_reversal,monthly,vw,4,1947-05-31,0.0039859063317045
usa,short_term_reversal,monthly,vw,4,1947-06-30,-0.00773367252779531
usa,short_term_reversal,monthly,vw,4,1947-07-31,0.00146087452901492
usa,short_term_reversal,monthly,vw,4,1947-08-31,0.0096470096513618
usa,short_term_reversal,monthly,vw,4,1947-09-30,0.00641841342619978
usa,short_term_reversal,monthly,vw,4,1947-10-31,0.00883720120245115
usa,short_term_reversal,monthly,vw,4,1947-11-30,0.00118727601832099
usa,short_term_reversal,monthly,vw,4,1947-12-31,-0.00212092460207787
usa,short_term_reversal,monthly,vw,4,1948-01-31,0.0143175063922817
usa,short_term_reversal,monthly,vw,4,1948-02-29,0.00322584515667258
usa,short_term_reversal,monthly,vw,4,1948-03-31,0.00541003769231249
usa,short_term_reversal,monthly,vw,4,1948-04-30,0.0081095438922518
usa,short_term_reversal,monthly,vw,4,1948-05-31,0.0139698616083766
usa,short_term_reversal,monthly,vw,4,1948-06-30,0.00458674384528695
usa,short_term_reversal,monthly,vw,4,1948-07-31,0.0197050307665137
usa,short_term_reversal,monthly,vw,4,1948-08-31,0.00216457368051331
usa,short_term_reversal,monthly,vw,4,1948-09-30,0.00617019486139363
usa,short_term_reversal,monthly,vw,4,1948-10-31,0.00629465938775101
usa,short_term_reversal,monthly,vw,4,1948-11-30,0.0259041147595658
usa,short_term_reversal,monthly,vw,4,1948-12-31,0.00427477427477433
