Model,Factor,Beta,t-statistic,p-value
CAPM,MKT-RF,-0.03498113837370423,-21.911205362496784,0.0
FF3,MKT-RF,-0.03750689291804876,-23.096317924936844,0.0
FF3,SMB,-0.03522252235497117,-12.062719552685259,0.0
FF3,HML,-0.002103966328981143,-0.757879350252837,0.44853010958658857
FF5,MKT-RF,-0.021694910518694672,-12.040056196680398,0.0
FF5,SMB,-0.04448904332392925,-13.537086178568977,0.0
FF5,HML,0.033952249185176316,9.880374314131283,0.0
FF5,RMW,0.027557202295854493,6.039787474863732,1.5784908935501107e-09
FF5,CMA,-0.001955423838854399,-0.3510443939117616,0.7255598223461508
Q4,R_MKT,-0.01952053109252095,-10.90118980461239,0.0
Q4,R_ME,-0.03842260093478437,-12.189683236388827,0.0
Q4,R_IA,0.02802384877179672,6.159968454148891,7.466913753972904e-10
Q4,R_ROE,-0.001933664360912371,-0.4741652050175874,0.6353891980372812
Q5,R_MKT,-0.01838551144324049,-10.06308730174052,0.0
Q5,R_ME,-0.03589629605013521,-11.030448559595712,0.0
Q5,R_IA,0.02878630131228089,6.320251691531338,2.687248201738157e-10
Q5,R_ROE,-0.008623427727900528,-1.8704921352980173,0.06143551026632443
Q5,R_EG,0.016606049034412873,3.1077154744649955,0.0018890166807181696
