Model,Sample,N,Alpha (ann.),t-statistic,p-value,R²,Adj. R²
CAPM,1926-2024,25901,0.06033220829349983,13.91982804846762,0.0,0.018200048662975976,0.018162139865287474
FF3,1926-2024,25901,0.060969197838265876,14.102037163178544,0.0,0.02368723305171405,0.023574133530501307
FF5,1926-2024,15481,0.043114477751358724,10.213374238573143,0.0,0.044338822790301546,0.04403004696567803
Q4,1967-2024,14598,0.042771772102116676,9.706328253366523,0.0,0.024771497589871183,0.02450418353452677
Q5,1967-2024,14598,0.04147664682830396,9.373363692100835,0.0,0.025416537694446517,0.02508259325149642
