Strategy,Coefficient,t-statistic,p-value
Short-term Reversal,6.894448480962835e-08,0.12138812443598897,0.9033860429687031
Combined (59%/41%),-9.736341944849448e-09,-0.01982091842040505,0.9841866230955305
