Model,N,Alpha (ann.),t-statistic,p-value,R²,Adj. R²
CAPM,18041,0.05981381766927098,18.896327205386118,0.0,6.381560500068328e-05,8.383697223224296e-06
FF3,18041,0.0596707206905043,18.917452776001753,0.0,0.008207941169215971,0.008042981576351749
FF5,15481,0.05645392107011853,15.968950641332466,0.0,0.015947710118920266,0.015629761075339865
Q4,14598,0.0492968310811689,13.575245454110116,0.0,0.05559854315143864,0.05533967891328373
Q5,14598,0.04484341538537842,12.364967918229562,0.0,0.06647435809858326,0.06615448226185716
