,Full Sample,Pre-1990,Post-1990
ann_return,0.05762715512473654,0.07930884387789411,0.015616270395356527
ann_vol,0.044327905737416184,0.04746828925666631,0.037362655396837044
sharpe,1.300019799403579,1.670775271656882,0.41796468236779905
sortino,1.8495914453266995,2.296429303174849,0.6437555784426383
calmar,0.2316817544992459,0.41978194293645327,0.06278298687657762
max_dd,0.24873411050123978,0.18892866930653068,0.2487341105012395
skew,0.8859926052476164,0.8824193437287887,0.7104259385524272
kurt,20.250553372913735,21.452865659512362,8.540983179073791
n,25901.0,17084.0,8817.0
