,Short-term Reversal,Residual Momentum,Combined (49%/51%)
ann_return,0.008323058632811551,0.04860500593981747,0.02886685175938457
ann_vol,0.042207670069176105,0.09185016142163803,0.04962872199570656
sharpe,0.1971930366961859,0.5291771422882564,0.5816561579377739
sortino,0.2982766592015146,0.6504089931385909,0.7248480164571859
calmar,0.030641399103014638,0.12014490236749113,0.1338827791015874
max_dd,0.2716278915603658,0.4045532101823825,0.2156128813062733
skew,0.30209702131783134,-0.7464170581161772,-0.6097809069437629
kurt,4.358953812549924,9.441420380191243,10.379279966873524
n,860.0,860.0,860.0
