Strategy,Coefficient,t-statistic,p-value
Short-term Reversal,-8.759175845652266e-06,-0.5051825303996708,0.6136639669099342
Combined (49%/51%),4.2098295763394084e-05,2.192902081983638,0.028796588108589427
