Model,Sample,N,Alpha (ann.),t-statistic,p-value,R²,Adj. R²
CAPM,1926-2024,1182,0.01663547834711898,3.11107503337175,0.0019088047562614285,0.019862245787043098,0.019031620571608454
FF3,1926-2024,1182,0.018031802572075553,3.384029478897911,0.0007378017101413725,0.032830441946639866,0.03036736157808284
FF5,1926-2024,738,0.00267124480239169,0.4590367682454016,0.6463440367986584,0.017521059356092494,0.010810137630382632
Q4,1967-2024,696,0.0029959032808916843,0.4795321187566383,0.6317118569252302,0.006021930318223623,0.00026807752701218934
Q5,1967-2024,696,0.007051998662387365,1.0472931526043665,0.29533110675554664,0.009712823817975447,0.002536829787670891
