Model,Factor,Beta,t-statistic,p-value
CAPM,MKT-RF,-0.04058412888982429,-4.890031091498726,1.1474850225567934e-06
FF3,MKT-RF,-0.03363034144986475,-3.7886123812964856,0.00015914559734042655
FF3,SMB,0.0036884951202415723,0.2524190103068045,0.8007612427104096
FF3,HML,-0.05040562743407541,-3.9741058286785105,7.493662761071107e-05
FF5,MKT-RF,0.020037240822877556,1.7236129781531284,0.08519998894849068
FF5,SMB,-0.021963229882847834,-1.2680095580952482,0.2051976959168227
FF5,HML,0.029432997581063425,1.366668287975734,0.17214891232882312
FF5,RMW,0.04457047326411283,1.9014871175311359,0.057630631843731406
FF5,CMA,-0.003123489524957669,-0.09494119934335178,0.9243875149231935
Q4,R_MKT,0.018567447900984056,1.5583976372072272,0.11959687356084014
Q4,R_ME,-0.011438681547279877,-0.6669806856603363,0.5050071223453223
Q4,R_IA,0.03912600215245775,1.553362075977116,0.12079452069246255
Q4,R_ROE,0.01257143517724835,0.6299746576800807,0.5289194178413115
Q5,R_MKT,0.012489765240760214,0.9999965613173744,0.31766272590166555
Q5,R_ME,-0.018124282995778857,-1.0280088702827166,0.3043058840026971
Q5,R_IA,0.041434806308948316,1.644205047839575,0.10058935718130235
Q5,R_ROE,0.028477085160273634,1.2790567793896943,0.20130704082843254
Q5,R_EG,-0.048916530234368,-1.6036505026477823,0.10924872315764933
