Model,N,Alpha (ann.),t-statistic,p-value,R²,Adj. R²
CAPM,860,0.030895602884201,5.22675761242233,2.167719868051421e-07,0.00634560302546161,0.00518749766768245
FF3,860,0.029314366463363935,4.927512889758612,9.99829381953532e-07,0.011560015166101612,0.008095856340749163
FF5,738,0.0224971484711677,3.2882075581257193,0.0010564553740550764,0.02946072855869397,0.022831361950488294
Q4,696,0.01197476685374749,1.6750421210495128,0.09437841146558501,0.0793479052856848,0.07401851544652804
Q5,696,-0.00023261780975731444,-0.030528874132690866,0.9756540939371343,0.10299711891738306,0.09649709803997286
