location,name,freq,weighting,n_factors,date,ret
usa,short_term_reversal,daily,ew,3,1926-05-19,-0.0021498097716978
usa,short_term_reversal,daily,ew,3,1926-05-20,-0.00275761383619482
usa,short_term_reversal,daily,ew,3,1926-05-21,0.0000735903107901027
usa,short_term_reversal,daily,ew,3,1926-05-22,-0.000910706432569062
usa,short_term_reversal,daily,ew,3,1926-05-24,0.00176075204563155
usa,short_term_reversal,daily,ew,3,1926-05-25,0.00209042540375099
usa,short_term_reversal,daily,ew,3,1926-05-26,-0.0000882045531441176
usa,short_term_reversal,daily,ew,3,1926-05-27,0.00237908656555528
usa,short_term_reversal,daily,ew,3,1926-05-28,0.000985546515297591
usa,short_term_reversal,daily,ew,4,1926-06-01,0.00470507640212483
usa,short_term_reversal,daily,ew,4,1926-06-02,0.00301719468259128
usa,short_term_reversal,daily,ew,4,1926-06-03,0.00462969875476384
usa,short_term_reversal,daily,ew,4,1926-06-04,-0.00157761093547368
usa,short_term_reversal,daily,ew,4,1926-06-05,0.000645986444060277
usa,short_term_reversal,daily,ew,4,1926-06-07,-0.00032797419301716
usa,short_term_reversal,daily,ew,4,1926-06-08,-0.000418301082920402
usa,short_term_reversal,daily,ew,4,1926-06-09,0.00149837497339388
usa,short_term_reversal,daily,ew,4,1926-06-10,0.00331572453736297
usa,short_term_reversal,daily,ew,4,1926-06-11,-0.000475129693560306
usa,short_term_reversal,daily,ew,4,1926-06-12,-0.00116477977153155
usa,short_term_reversal,daily,ew,4,1926-06-14,-0.0000531894640327024
usa,short_term_reversal,daily,ew,4,1926-06-15,0.00144162585949559
usa,short_term_reversal,daily,ew,4,1926-06-16,-0.00105393634135516
usa,short_term_reversal,daily,ew,4,1926-06-17,0.00335108943892474
usa,short_term_reversal,daily,ew,4,1926-06-18,-0.00317659501525592
usa,short_term_reversal,daily,ew,4,1926-06-19,-0.00161290414963239
usa,short_term_reversal,daily,ew,4,1926-06-21,0.00085404239660182
usa,short_term_reversal,daily,ew,4,1926-06-22,-0.0000234390652197472
usa,short_term_reversal,daily,ew,4,1926-06-23,0.000561856503011305
usa,short_term_reversal,daily,ew,4,1926-06-24,0.000548277862326984
usa,short_term_reversal,daily,ew,4,1926-06-25,-0.000738388090038191
usa,short_term_reversal,daily,ew,4,1926-06-26,0.0000976681231488959
usa,short_term_reversal,daily,ew,4,1926-06-28,-0.00242302874186534
usa,short_term_reversal,daily,ew,4,1926-06-29,0.00107202235163567
usa,short_term_reversal,daily,ew,4,1926-06-30,-0.000347413999774965
usa,short_term_reversal,daily,ew,4,1926-07-01,0.00290963044750978
usa,short_term_reversal,daily,ew,4,1926-07-02,0.00315654263984995
usa,short_term_reversal,daily,ew,4,1926-07-06,-0.0000179671383309722
usa,short_term_reversal,daily,ew,4,1926-07-07,-0.000516712502651117
usa,short_term_reversal,daily,ew,4,1926-07-08,0.00131303169393537
usa,short_term_reversal,daily,ew,4,1926-07-09,0.00247702922735589
usa,short_term_reversal,daily,ew,4,1926-07-10,-0.000858946616471066
usa,short_term_reversal,daily,ew,4,1926-07-12,-0.00265136099415721
usa,short_term_reversal,daily,ew,4,1926-07-13,0.000511594691858589
usa,short_term_reversal,daily,ew,4,1926-07-14,0.00143412142038801
usa,short_term_reversal,daily,ew,4,1926-07-15,0.000398365598323286
usa,short_term_reversal,daily,ew,4,1926-07-16,-0.00157847826754132
usa,short_term_reversal,daily,ew,4,1926-07-17,-0.00126403370400739
usa,short_term_reversal,daily,ew,4,1926-07-19,-0.000743257268476176
usa,short_term_reversal,daily,ew,4,1926-07-20,0.00376059167717267
usa,short_term_reversal,daily,ew,4,1926-07-21,0.00037752389707921
usa,short_term_reversal,daily,ew,4,1926-07-22,0.00291196755587009
usa,short_term_reversal,daily,ew,4,1926-07-23,-0.000838634067144846
usa,short_term_reversal,daily,ew,4,1926-07-24,0.00255056235994011
usa,short_term_reversal,daily,ew,4,1926-07-26,-0.000522709645806626
usa,short_term_reversal,daily,ew,4,1926-07-27,-0.000233761555560276
usa,short_term_reversal,daily,ew,4,1926-07-28,-0.00401033611649956
usa,short_term_reversal,daily,ew,4,1926-07-29,0.00168109652085417
usa,short_term_reversal,daily,ew,4,1926-07-30,-0.00146582064753034
usa,short_term_reversal,daily,ew,4,1926-07-31,0.00111572699660073
usa,short_term_reversal,daily,ew,4,1926-08-02,0.00473776500500267
usa,short_term_reversal,daily,ew,4,1926-08-03,0.000871261342970499
usa,short_term_reversal,daily,ew,4,1926-08-04,0.00231027932404981
usa,short_term_reversal,daily,ew,4,1926-08-05,-0.00195431988398599
usa,short_term_reversal,daily,ew,4,1926-08-06,-0.00143243021383085
usa,short_term_reversal,daily,ew,4,1926-08-07,-0.00226902821650463
usa,short_term_reversal,daily,ew,4,1926-08-09,-0.00260216898230236
usa,short_term_reversal,daily,ew,4,1926-08-10,0.00236292479295141
usa,short_term_reversal,daily,ew,4,1926-08-11,0.00365691206560103
usa,short_term_reversal,daily,ew,4,1926-08-12,0.00105106144778354
usa,short_term_reversal,daily,ew,4,1926-08-13,0.000600468097408943
usa,short_term_reversal,daily,ew,4,1926-08-14,0.000675652230561234
usa,short_term_reversal,daily,ew,4,1926-08-16,0.000177400843574181
usa,short_term_reversal,daily,ew,4,1926-08-17,0.00348531756348303
usa,short_term_reversal,daily,ew,4,1926-08-18,-0.00321080666355409
